job_id,company,role,location,work_mode,employment_type,experience_years,skills,salary_lpa,date_posted,skills_cleaned
53,Walmart,Data Analyst,Chennai,Remote,Contract,8,Python|Docker|ETL|Statistics|SQL|NumPy,25.38,2023-06-06,"['statistics', 'numpy', 'sql', 'etl', 'python', 'docker']"
54,Walmart,Business Analyst,Chennai,Hybrid,Contract,8,ETL|Git|NumPy|Docker|Spark|AWS,23.24,2023-03-30,"['numpy', 'aws', 'git', 'spark', 'etl', 'docker']"
55,Razorpay,BI Analyst,Hyderabad,Hybrid,Internship,3,Airflow|Azure|Python|Statistics|Pandas|Power BI|Docker,10.78,2023-10-14,"['statistics', 'docker', 'airflow', 'power bi', 'pandas', 'python', 'azure']"
56,Swiggy,Data Scientist,Remote,Onsite,Contract,4,Python|NumPy|SQL|Tableau|Spark|ETL|Statistics|Machine Learning,20.93,2024-05-17,"['machine learning', 'numpy', 'statistics', 'sql', 'spark', 'etl', 'tableau', 'python']"
57,Freshworks,Data Analyst,Mumbai,Hybrid,Contract,1,Statistics|Airflow|Spark|Tableau|Excel|Azure,6.66,2023-12-19,"['statistics', 'excel', 'airflow', 'spark', 'tableau', 'azure']"
58,Amazon,Data Scientist,Bengaluru,Remote,Internship,8,Spark|Git|Excel|ETL|Docker|Tableau,30.95,2024-07-02,"['excel', 'git', 'spark', 'etl', 'tableau', 'docker']"
59,Microsoft,Business Analyst,Mumbai,Remote,Contract,3,ETL|Machine Learning|Spark|AWS|Airflow,17.44,2023-07-18,"['machine learning', 'aws', 'airflow', 'spark', 'etl']"
60,Infosys,Business Analyst,Chennai,Onsite,Internship,5,AWS|Python|Spark|Machine Learning|Power BI,19.66,2023-05-10,"['machine learning', 'aws', 'power bi', 'spark', 'python']"
61,Infosys,BI Analyst,Chennai,Onsite,Full-time,1,AWS|ETL|Statistics|Git,5.76,2024-05-04,"['git', 'statistics', 'etl', 'aws']"
62,TCS,Data Analyst,Bengaluru,Onsite,Internship,6,Power BI|SQL|Data Warehousing|Git|Airflow|AWS|Excel,21.17,2024-03-02,"['aws', 'excel', 'git', 'sql', 'airflow', 'power bi', 'data warehousing']"
63,Infosys,Analytics Engineer,Mumbai,Remote,Full-time,3,Airflow|Git|ETL|Statistics|Excel|AWS|NumPy|Data Warehousing,13.33,2023-04-12,"['statistics', 'numpy', 'aws', 'excel', 'git', 'airflow', 'etl', 'data warehousing']"
64,Zoho,Data Scientist,Hyderabad,Onsite,Contract,3,Power BI|Pandas|Tableau|Data Warehousing|Machine Learning|SQL,18.35,2024-08-31,"['machine learning', 'sql', 'pandas', 'power bi', 'data warehousing', 'tableau']"
65,Amazon,Senior Data Analyst,Bengaluru,Remote,Internship,0,AWS|Data Warehousing|Spark|Docker|Statistics,8.77,2024-10-02,"['statistics', 'aws', 'spark', 'data warehousing', 'docker']"
66,Razorpay,Data Scientist,Bengaluru,Onsite,Contract,3,Tableau|Statistics|Azure|Power BI|Excel|Docker|SQL,16.92,2024-08-05,"['statistics', 'excel', 'docker', 'sql', 'power bi', 'tableau', 'azure']"
67,Infosys,BI Analyst,Bengaluru,Remote,Internship,1,AWS|Airflow|Excel|Machine Learning|Docker|Statistics|Spark,14.17,2023-11-27,"['machine learning', 'statistics', 'aws', 'excel', 'airflow', 'spark', 'docker']"
68,Cognizant,Senior Data Analyst,Remote,Hybrid,Contract,0,Statistics|Python|Airflow|Azure,2.62,2023-06-29,"['statistics', 'python', 'azure', 'airflow']"
69,Zoho,Analytics Engineer,Pune,Hybrid,Full-time,7,Pandas|Docker|Azure|ETL|Statistics|SQL,21.0,2024-11-17,"['statistics', 'docker', 'sql', 'etl', 'pandas', 'azure']"
70,Flipkart,Business Analyst,Pune,Onsite,Contract,5,ETL|AWS|Azure|NumPy|Airflow|Machine Learning|Python,18.76,2023-04-29,"['machine learning', 'numpy', 'aws', 'airflow', 'etl', 'python', 'azure']"
71,Razorpay,Analytics Engineer,Delhi,Hybrid,Internship,0,Git|Docker|Python|Tableau|Machine Learning|Pandas|AWS|Statistics,5.65,2023-10-01,"['machine learning', 'statistics', 'aws', 'git', 'pandas', 'tableau', 'python', 'docker']"
72,Infosys,Business Analyst,Chennai,Remote,Full-time,4,ETL|Tableau|Python|Azure|AWS|Data Warehousing|Power BI,15.66,2023-04-06,"['aws', 'power bi', 'etl', 'data warehousing', 'tableau', 'python', 'azure']"
73,Swiggy,Data Analyst,Chennai,Remote,Contract,7,Excel|ETL|Git|Spark,22.32,2024-05-09,"['spark', 'git', 'etl', 'excel']"
74,Flipkart,Business Analyst,Chennai,Hybrid,Contract,7,Excel|Airflow|Tableau|AWS|Machine Learning|Spark|Power BI|SQL,25.8,2024-06-03,"['machine learning', 'aws', 'excel', 'sql', 'airflow', 'power bi', 'spark', 'tableau']"
75,Razorpay,Data Analyst,Chennai,Remote,Contract,4,ETL|Excel|Statistics|Machine Learning|Git|Pandas,18.63,2024-04-11,"['machine learning', 'statistics', 'excel', 'git', 'etl', 'pandas']"
76,Zoho,Business Analyst,Delhi,Hybrid,Full-time,3,Airflow|Statistics|Docker|Data Warehousing|NumPy|Python|Pandas|ETL,12.97,2024-10-29,"['numpy', 'statistics', 'airflow', 'etl', 'data warehousing', 'pandas', 'python', 'docker']"
77,Freshworks,BI Analyst,Bengaluru,Remote,Contract,0,Data Warehousing|Azure|Docker|SQL|Statistics,6.05,2023-05-28,"['statistics', 'sql', 'azure', 'data warehousing', 'docker']"
78,Paytm,Data Scientist,Delhi,Hybrid,Internship,2,ETL|Machine Learning|Pandas|AWS,14.74,2023-12-03,"['machine learning', 'pandas', 'etl', 'aws']"
79,Amazon,Analytics Engineer,Delhi,Hybrid,Full-time,6,ETL|SQL|AWS|Data Warehousing|Tableau|Azure,19.74,2024-03-20,"['aws', 'sql', 'etl', 'data warehousing', 'tableau', 'azure']"
80,Flipkart,Data Scientist,Chennai,Hybrid,Internship,1,Pandas|AWS|Git|Python|Docker|Data Warehousing|Airflow,10.29,2023-09-08,"['aws', 'git', 'airflow', 'data warehousing', 'pandas', 'python', 'docker']"
81,Amazon,BI Analyst,Mumbai,Remote,Full-time,2,Pandas|Power BI|AWS|Docker|NumPy,10.49,2024-08-20,"['numpy', 'aws', 'power bi', 'pandas', 'docker']"
82,Deloitte,Business Analyst,Chennai,Remote,Contract,7,Git|Machine Learning|Azure|Python|Airflow|Statistics,24.97,2024-03-28,"['machine learning', 'statistics', 'git', 'airflow', 'python', 'azure']"
83,Zoho,Analytics Engineer,Bengaluru,Onsite,Contract,4,Machine Learning|Git|Docker|Excel|Tableau|NumPy|Statistics,19.22,2024-08-11,"['machine learning', 'numpy', 'statistics', 'excel', 'git', 'tableau', 'docker']"
84,Razorpay,Data Scientist,Remote,Remote,Internship,4,Airflow|Machine Learning|Python|AWS,23.23,2023-02-20,"['aws', 'machine learning', 'python', 'airflow']"
85,Razorpay,Data Scientist,Chennai,Remote,Internship,7,Statistics|Spark|Tableau|Azure|Git|AWS,27.66,2024-11-06,"['statistics', 'aws', 'git', 'spark', 'tableau', 'azure']"
86,Accenture,Business Analyst,Chennai,Remote,Contract,1,AWS|Git|Python|Data Warehousing,6.77,2023-10-30,"['data warehousing', 'git', 'python', 'aws']"
87,Microsoft,Data Scientist,Mumbai,Remote,Contract,6,NumPy|Excel|Airflow|Machine Learning|Pandas,28.49,2023-09-21,"['machine learning', 'numpy', 'excel', 'airflow', 'pandas']"
88,Swiggy,Senior Data Analyst,Hyderabad,Remote,Internship,5,Git|Power BI|ETL|Airflow,18.52,2024-02-11,"['git', 'etl', 'airflow', 'power bi']"
89,Microsoft,Senior Data Analyst,Delhi,Remote,Contract,1,Python|Machine Learning|ETL|SQL|Statistics|Pandas|Azure,11.25,2024-10-15,"['machine learning', 'statistics', 'sql', 'etl', 'pandas', 'python', 'azure']"
90,Swiggy,Data Analyst,Delhi,Hybrid,Full-time,3,Python|Azure|Git|AWS|Tableau|ETL|SQL,10.91,2024-02-23,"['aws', 'git', 'sql', 'etl', 'tableau', 'python', 'azure']"
91,Accenture,Business Analyst,Hyderabad,Remote,Internship,0,AWS|ETL|SQL|Git,5.17,2024-01-15,"['git', 'sql', 'etl', 'aws']"
92,Swiggy,Data Scientist,Chennai,Onsite,Contract,8,Excel|Docker|Azure|SQL|Statistics|AWS|NumPy,27.61,2024-03-30,"['statistics', 'numpy', 'aws', 'excel', 'sql', 'docker', 'azure']"
93,TCS,Business Analyst,Chennai,Onsite,Full-time,5,Spark|Data Warehousing|Python|NumPy,17.85,2024-04-10,"['spark', 'numpy', 'data warehousing', 'python']"
94,Amazon,Data Scientist,Bengaluru,Remote,Contract,3,Python|SQL|Airflow|Pandas|Tableau|Power BI|AWS|Git,19.26,2023-08-27,"['aws', 'git', 'sql', 'airflow', 'power bi', 'tableau', 'pandas', 'python']"
95,Walmart,Business Analyst,Bengaluru,Remote,Contract,0,Excel|Data Warehousing|Machine Learning|ETL|Airflow|Power BI,9.08,2023-01-16,"['machine learning', 'excel', 'airflow', 'power bi', 'etl', 'data warehousing']"
96,Deloitte,Business Analyst,Delhi,Hybrid,Contract,5,Pandas|Machine Learning|Python|Power BI,18.34,2023-03-07,"['machine learning', 'pandas', 'python', 'power bi']"
97,Paytm,BI Analyst,Chennai,Hybrid,Contract,5,Tableau|Git|Machine Learning|Data Warehousing|AWS|Python|Azure|ETL,20.89,2023-03-04,"['machine learning', 'aws', 'git', 'etl', 'data warehousing', 'tableau', 'python', 'azure']"
98,Accenture,BI Analyst,Chennai,Remote,Internship,6,ETL|Git|SQL|Data Warehousing,19.2,2023-10-09,"['data warehousing', 'git', 'sql', 'etl']"
99,TCS,Data Scientist,Bengaluru,Remote,Internship,8,Airflow|AWS|Statistics|Machine Learning|ETL|NumPy,35.56,2024-10-28,"['machine learning', 'statistics', 'numpy', 'aws', 'airflow', 'etl']"
100,Flipkart,Data Scientist,Delhi,Onsite,Contract,3,Git|Statistics|NumPy|Pandas|ETL|Data Warehousing|Spark,15.28,2024-11-12,"['statistics', 'numpy', 'git', 'spark', 'etl', 'data warehousing', 'pandas']"
101,Flipkart,Senior Data Analyst,Delhi,Remote,Full-time,2,Power BI|Data Warehousing|Docker|SQL|Git|NumPy|Airflow,11.44,2024-07-23,"['numpy', 'git', 'sql', 'airflow', 'power bi', 'data warehousing', 'docker']"
102,Flipkart,Analytics Engineer,Mumbai,Hybrid,Full-time,8,Azure|Tableau|NumPy|Pandas|Data Warehousing|Git|Python|Excel,22.81,2024-06-03,"['numpy', 'excel', 'git', 'pandas', 'data warehousing', 'tableau', 'python', 'azure']"
103,Cognizant,Business Analyst,Bengaluru,Hybrid,Internship,7,Tableau|Spark|Docker|Machine Learning|Pandas,25.68,2024-03-15,"['machine learning', 'pandas', 'spark', 'tableau', 'docker']"
104,Flipkart,Analytics Engineer,Delhi,Hybrid,Full-time,8,Machine Learning|Python|Power BI|Excel,26.55,2023-07-05,"['machine learning', 'python', 'excel', 'power bi']"
105,Zoho,Analytics Engineer,Mumbai,Onsite,Full-time,6,Excel|Python|SQL|Spark,18.76,2023-12-16,"['spark', 'python', 'sql', 'excel']"
106,TCS,Senior Data Analyst,Bengaluru,Remote,Contract,4,Power BI|SQL|Data Warehousing|Git|Airflow|AWS,16.82,2024-11-08,"['aws', 'git', 'sql', 'airflow', 'power bi', 'data warehousing']"
107,Paytm,BI Analyst,Bengaluru,Hybrid,Internship,7,Machine Learning|NumPy|Airflow|Data Warehousing|SQL|Pandas|ETL,27.04,2024-05-13,"['machine learning', 'numpy', 'sql', 'airflow', 'etl', 'data warehousing', 'pandas']"
108,Microsoft,Data Scientist,Bengaluru,Onsite,Contract,4,Statistics|Airflow|AWS|Python,21.34,2023-05-21,"['aws', 'statistics', 'python', 'airflow']"
109,Zoho,Senior Data Analyst,Hyderabad,Onsite,Internship,5,Python|ETL|Spark|NumPy,16.6,2023-08-24,"['spark', 'numpy', 'python', 'etl']"
110,Walmart,Analytics Engineer,Pune,Onsite,Internship,5,Airflow|SQL|NumPy|Python,15.94,2024-03-15,"['numpy', 'sql', 'airflow', 'python']"
111,Flipkart,BI Analyst,Pune,Remote,Full-time,6,Tableau|Airflow|Python|Pandas|Power BI|AWS,19.26,2023-04-19,"['aws', 'airflow', 'power bi', 'pandas', 'tableau', 'python']"
112,TCS,BI Analyst,Remote,Onsite,Internship,6,Power BI|Airflow|Docker|Excel|Spark|Pandas|Tableau|ETL,19.03,2023-04-27,"['excel', 'airflow', 'power bi', 'spark', 'etl', 'tableau', 'pandas', 'docker']"
113,Cognizant,Analytics Engineer,Hyderabad,Onsite,Full-time,3,Spark|Excel|Tableau|SQL|Power BI|ETL,10.46,2024-11-02,"['excel', 'sql', 'power bi', 'spark', 'etl', 'tableau']"
114,Freshworks,Business Analyst,Bengaluru,Hybrid,Internship,7,Git|Azure|Docker|ETL|Pandas|Power BI|Statistics,23.89,2023-10-09,"['statistics', 'git', 'power bi', 'azure', 'etl', 'pandas', 'docker']"
115,Walmart,Data Analyst,Bengaluru,Remote,Internship,5,Power BI|AWS|Statistics|Git|Python|Airflow|Pandas|Excel,21.43,2023-04-03,"['statistics', 'aws', 'excel', 'git', 'airflow', 'power bi', 'pandas', 'python']"
116,Freshworks,Analytics Engineer,Chennai,Remote,Contract,8,Git|SQL|Statistics|Airflow|AWS|Azure|Tableau,25.5,2023-03-05,"['statistics', 'aws', 'git', 'sql', 'airflow', 'tableau', 'azure']"
117,Freshworks,Data Analyst,Delhi,Hybrid,Full-time,5,Data Warehousing|Pandas|Python|Tableau,16.57,2024-09-16,"['data warehousing', 'pandas', 'python', 'tableau']"
118,Paytm,Senior Data Analyst,Bengaluru,Remote,Full-time,5,Airflow|Docker|Data Warehousing|Pandas|Azure|AWS,19.5,2023-12-04,"['aws', 'airflow', 'azure', 'data warehousing', 'pandas', 'docker']"
119,Microsoft,Analytics Engineer,Hyderabad,Hybrid,Contract,6,Machine Learning|Excel|Pandas|SQL|AWS|Azure,23.4,2024-11-09,"['machine learning', 'aws', 'excel', 'sql', 'pandas', 'azure']"
120,Paytm,Business Analyst,Remote,Remote,Internship,1,Airflow|Azure|Docker|Power BI|ETL|Spark,9.24,2023-04-06,"['docker', 'airflow', 'power bi', 'spark', 'etl', 'azure']"
121,Accenture,Data Scientist,Hyderabad,Onsite,Full-time,6,Spark|Python|Pandas|Excel|Power BI|Tableau|Git|Statistics,21.96,2023-10-30,"['statistics', 'excel', 'git', 'power bi', 'spark', 'tableau', 'pandas', 'python']"
122,Accenture,Analytics Engineer,Hyderabad,Onsite,Full-time,8,SQL|Azure|Git|Airflow|AWS|Power BI|Docker|NumPy,24.99,2024-10-01,"['numpy', 'aws', 'git', 'sql', 'docker', 'airflow', 'power bi', 'azure']"
123,Cognizant,Data Scientist,Hyderabad,Hybrid,Full-time,7,Docker|Spark|Azure|ETL,24.85,2024-04-04,"['spark', 'azure', 'etl', 'docker']"
124,Razorpay,Analytics Engineer,Pune,Hybrid,Contract,3,ETL|NumPy|Pandas|Azure|AWS|Statistics,11.15,2024-06-24,"['numpy', 'statistics', 'aws', 'etl', 'pandas', 'azure']"
125,Walmart,Business Analyst,Delhi,Remote,Full-time,3,Excel|Machine Learning|Python|Azure|Statistics|Pandas|ETL|SQL,14.87,2023-03-27,"['machine learning', 'statistics', 'excel', 'sql', 'etl', 'pandas', 'python', 'azure']"
126,Deloitte,Senior Data Analyst,Bengaluru,Hybrid,Full-time,7,Excel|Docker|SQL|Tableau|Statistics|Pandas|Python|NumPy,23.12,2024-01-31,"['statistics', 'numpy', 'excel', 'sql', 'pandas', 'tableau', 'python', 'docker']"
127,Razorpay,Senior Data Analyst,Delhi,Hybrid,Contract,3,Azure|Tableau|Docker|Spark,10.44,2023-02-09,"['spark', 'tableau', 'docker', 'azure']"
128,Deloitte,BI Analyst,Remote,Onsite,Internship,2,Git|Python|Data Warehousing|SQL|ETL|Excel|Tableau,10.32,2024-09-15,"['excel', 'git', 'sql', 'etl', 'data warehousing', 'tableau', 'python']"
129,Freshworks,BI Analyst,Delhi,Remote,Internship,1,Statistics|AWS|SQL|Python|Tableau|NumPy,6.69,2024-05-26,"['statistics', 'numpy', 'aws', 'sql', 'tableau', 'python']"
130,Accenture,Analytics Engineer,Mumbai,Hybrid,Internship,0,Statistics|Excel|ETL|NumPy|Python|AWS|Pandas|Tableau,4.49,2023-03-29,"['numpy', 'statistics', 'aws', 'excel', 'etl', 'tableau', 'pandas', 'python']"
131,Swiggy,Senior Data Analyst,Chennai,Hybrid,Contract,1,Data Warehousing|Python|NumPy|Docker|Statistics|ETL|Azure|Git,5.05,2023-03-11,"['numpy', 'statistics', 'git', 'azure', 'etl', 'data warehousing', 'python', 'docker']"
132,Freshworks,Business Analyst,Remote,Remote,Internship,1,Azure|Excel|Python|Pandas|Machine Learning|Docker|Data Warehousing|Power BI,12.44,2024-05-05,"['machine learning', 'excel', 'docker', 'power bi', 'data warehousing', 'pandas', 'python', 'azure']"
133,Infosys,Business Analyst,Bengaluru,Onsite,Internship,2,Git|SQL|Excel|Tableau,10.45,2023-11-14,"['git', 'tableau', 'sql', 'excel']"
